Postcode District,Bedroom Category,Count of rents,Mean,Lower quartile,Median,Upper quartile
BR1,Room,20,535,492,542,600
BR1,Studio,10,706,600,753,775
BR1,One Bedroom,120,"1,033",950,"1,050","1,100"
BR1,Two Bedrooms,230,"1,238","1,100","1,250","1,350"
BR1,Three Bedrooms,90,"1,484","1,350","1,475","1,600"
BR1,Four or More Bedrooms,40,"2,487","1,975","2,375","2,900"
BR2,Room,10,657,600,675,700
BR2,Studio,-,..,..,..,..
BR2,One Bedroom,80,982,900,975,"1,050"
BR2,Two Bedrooms,200,"1,259","1,150","1,250","1,350"
BR2,Three Bedrooms,70,"1,578","1,400","1,550","1,750"
BR2,Four or More Bedrooms,40,"2,238","1,725","1,900","2,400"
BR3,Room,10,436,392,392,500
BR3,Studio,10,719,670,700,795
BR3,One Bedroom,130,970,900,975,"1,007"
BR3,Two Bedrooms,150,"1,262","1,200","1,250","1,350"
BR3,Three Bedrooms,50,"1,666","1,500","1,650","1,800"
BR3,Four or More Bedrooms,20,"2,359","1,800","1,935","2,700"
BR4,Room,0,.,.,.,.
BR4,Studio,10,671,600,680,725
BR4,One Bedroom,10,946,873,950,"1,050"
BR4,Two Bedrooms,10,"1,113","1,025","1,150","1,200"
BR4,Three Bedrooms,10,"1,780","1,700","1,750","1,800"
BR4,Four or More Bedrooms,10,"1,992","1,900","2,000","2,250"
BR5,Room,0,.,.,.,.
BR5,Studio,0,.,.,.,.
BR5,One Bedroom,30,899,850,875,950
BR5,Two Bedrooms,100,"1,092","1,000","1,050","1,200"
BR5,Three Bedrooms,90,"1,442","1,300","1,400","1,600"
BR5,Four or More Bedrooms,40,"1,961","1,650","1,900","2,200"
BR6,Room,-,..,..,..,..
BR6,Studio,20,665,578,650,750
BR6,One Bedroom,70,947,875,938,"1,000"
BR6,Two Bedrooms,100,"1,200","1,050","1,195","1,300"
BR6,Three Bedrooms,100,"1,438","1,300","1,500","1,575"
BR6,Four or More Bedrooms,60,"2,146","1,650","1,825","2,000"
BR7,Room,0,.,.,.,.
BR7,Studio,0,.,.,.,.
BR7,One Bedroom,40,941,850,900,"1,000"
BR7,Two Bedrooms,90,"1,261","1,150","1,200","1,325"
BR7,Three Bedrooms,50,"1,715","1,500","1,698","1,800"
BR7,Four or More Bedrooms,30,"2,611","2,100","2,300","3,200"
BR8,Room,0,.,.,.,.
BR8,Studio,0,.,.,.,.
BR8,One Bedroom,0,.,.,.,.
BR8,Two Bedrooms,-,..,..,..,..
BR8,Three Bedrooms,0,.,.,.,.
BR8,Four or More Bedrooms,0,.,.,.,.
CM13,Room,0,.,.,.,.
CM13,Studio,0,.,.,.,.
CM13,One Bedroom,0,.,.,.,.
CM13,Two Bedrooms,0,.,.,.,.
CM13,Three Bedrooms,0,.,.,.,.
CM13,Four or More Bedrooms,0,.,.,.,.
CM14,Room,0,.,.,.,.
CM14,Studio,0,.,.,.,.
CM14,One Bedroom,0,.,.,.,.
CM14,Two Bedrooms,0,.,.,.,.
CM14,Three Bedrooms,0,.,.,.,.
CM14,Four or More Bedrooms,0,.,.,.,.
CM23,Room,0,.,.,.,.
CM23,Studio,0,.,.,.,.
CM23,One Bedroom,0,.,.,.,.
CM23,Two Bedrooms,0,.,.,.,.
CM23,Three Bedrooms,0,.,.,.,.
CM23,Four or More Bedrooms,0,.,.,.,.
CR0,Room,70,502,390,492,567
CR0,Studio,50,745,700,750,800
CR0,One Bedroom,350,944,875,925,"1,000"
CR0,Two Bedrooms,370,"1,188","1,100","1,200","1,250"
CR0,Three Bedrooms,90,"1,397","1,300","1,400","1,500"
CR0,Four or More Bedrooms,30,"2,074","1,660","1,950","2,200"
CR2,Room,-,..,..,..,..
CR2,Studio,10,683,600,675,750
CR2,One Bedroom,50,894,850,900,925
CR2,Two Bedrooms,100,"1,150","1,100","1,125","1,200"
CR2,Three Bedrooms,30,"1,452","1,300","1,400","1,500"
CR2,Four or More Bedrooms,10,"1,783","1,700","1,900","1,900"
CR3,Room,0,.,.,.,.
CR3,Studio,0,.,.,.,.
CR3,One Bedroom,0,.,.,.,.
CR3,Two Bedrooms,0,.,.,.,.
CR3,Three Bedrooms,-,..,..,..,..
CR3,Four or More Bedrooms,-,..,..,..,..
CR4,Room,10,425,392,417,442
CR4,Studio,10,771,725,775,825
CR4,One Bedroom,30,984,910,"1,000","1,050"
CR4,Two Bedrooms,60,"1,199","1,100","1,200","1,350"
CR4,Three Bedrooms,30,"1,524","1,450","1,500","1,600"
CR4,Four or More Bedrooms,20,"1,932","1,800","1,850","2,000"
CR44,Room,0,.,.,.,.
CR44,Studio,0,.,.,.,.
CR44,One Bedroom,0,.,.,.,.
CR44,Two Bedrooms,0,.,.,.,.
CR44,Three Bedrooms,0,.,.,.,.
CR44,Four or More Bedrooms,0,.,.,.,.
CR5,Room,-,..,..,..,..
CR5,Studio,-,..,..,..,..
CR5,One Bedroom,-,..,..,..,..
CR5,Two Bedrooms,10,"1,185","1,050","1,273","1,300"
CR5,Three Bedrooms,20,"1,386","1,295","1,350","1,550"
CR5,Four or More Bedrooms,10,"2,057","1,740","1,850","2,450"
CR6,Room,0,.,.,.,.
CR6,Studio,0,.,.,.,.
CR6,One Bedroom,0,.,.,.,.
CR6,Two Bedrooms,-,..,..,..,..
CR6,Three Bedrooms,0,.,.,.,.
CR6,Four or More Bedrooms,0,.,.,.,.
CR7,Room,20,475,399,478,559
CR7,Studio,40,670,627,681,728
CR7,One Bedroom,60,895,850,875,920
CR7,Two Bedrooms,40,"1,151","1,100","1,200","1,213"
CR7,Three Bedrooms,40,"1,439","1,350","1,450","1,550"
CR7,Four or More Bedrooms,10,"1,721","1,600","1,650","1,800"
CR8,Room,10,544,485,535,585
CR8,Studio,30,728,695,700,750
CR8,One Bedroom,30,836,800,825,950
CR8,Two Bedrooms,70,"1,155","1,000","1,150","1,220"
CR8,Three Bedrooms,30,"1,385","1,200","1,400","1,500"
CR8,Four or More Bedrooms,30,"2,038","1,750","1,992","2,250"
CR9,Room,0,.,.,.,.
CR9,Studio,0,.,.,.,.
CR9,One Bedroom,0,.,.,.,.
CR9,Two Bedrooms,0,.,.,.,.
CR9,Three Bedrooms,0,.,.,.,.
CR9,Four or More Bedrooms,0,.,.,.,.
CR90,Room,0,.,.,.,.
CR90,Studio,0,.,.,.,.
CR90,One Bedroom,0,.,.,.,.
CR90,Two Bedrooms,0,.,.,.,.
CR90,Three Bedrooms,0,.,.,.,.
CR90,Four or More Bedrooms,0,.,.,.,.
DA1,Room,0,.,.,.,.
DA1,Studio,10,596,550,600,600
DA1,One Bedroom,30,676,580,650,700
DA1,Two Bedrooms,20,"1,047",925,"1,050","1,150"
DA1,Three Bedrooms,20,"1,220","1,100","1,275","1,395"
DA1,Four or More Bedrooms,10,"1,540","1,500","1,500","1,500"
DA14,Room,10,540,525,550,575
DA14,Studio,0,.,.,.,.
DA14,One Bedroom,10,886,850,900,920
DA14,Two Bedrooms,50,"1,097","1,000","1,100","1,200"
DA14,Three Bedrooms,10,"1,278","1,150","1,300","1,350"
DA14,Four or More Bedrooms,10,"1,640","1,500","1,700","1,700"
DA15,Room,-,..,..,..,..
DA15,Studio,0,.,.,.,.
DA15,One Bedroom,10,845,825,825,850
DA15,Two Bedrooms,10,"1,181","1,075","1,150","1,300"
DA15,Three Bedrooms,10,"1,310","1,050","1,375","1,450"
DA15,Four or More Bedrooms,10,"1,725","1,600","1,700","1,750"
DA16,Room,0,.,.,.,.
DA16,Studio,-,..,..,..,..
DA16,One Bedroom,10,913,850,888,990
DA16,Two Bedrooms,30,"1,139","1,050","1,150","1,250"
DA16,Three Bedrooms,30,"1,338","1,250","1,350","1,450"
DA16,Four or More Bedrooms,10,"1,554","1,400","1,575","1,690"
DA17,Room,-,..,..,..,..
DA17,Studio,0,.,.,.,.
DA17,One Bedroom,10,818,778,825,863
DA17,Two Bedrooms,30,"1,066",998,"1,050","1,125"
DA17,Three Bedrooms,20,"1,262","1,213","1,263","1,325"
DA17,Four or More Bedrooms,-,..,..,..,..
DA18,Room,0,.,.,.,.
DA18,Studio,0,.,.,.,.
DA18,One Bedroom,-,..,..,..,..
DA18,Two Bedrooms,-,..,..,..,..
DA18,Three Bedrooms,10,"1,139","1,070","1,175","1,200"
DA18,Four or More Bedrooms,10,"1,331","1,220","1,300","1,357"
DA5,Room,-,..,..,..,..
DA5,Studio,0,.,.,.,.
DA5,One Bedroom,10,"1,063",980,"1,075","1,200"
DA5,Two Bedrooms,20,"1,161","1,050","1,200","1,250"
DA5,Three Bedrooms,10,"1,412","1,350","1,421","1,500"
DA5,Four or More Bedrooms,10,"1,983","1,700","1,825","2,500"
DA6,Room,0,.,.,.,.
DA6,Studio,10,733,725,725,725
DA6,One Bedroom,20,847,800,875,900
DA6,Two Bedrooms,20,"1,161","1,100","1,150","1,260"
DA6,Three Bedrooms,10,"1,309","1,200","1,325","1,450"
DA6,Four or More Bedrooms,0,.,.,.,.
DA7,Room,0,.,.,.,.
DA7,Studio,-,..,..,..,..
DA7,One Bedroom,-,..,..,..,..
DA7,Two Bedrooms,50,"1,033",925,"1,050","1,100"
DA7,Three Bedrooms,30,"1,380","1,300","1,350","1,450"
DA7,Four or More Bedrooms,10,"1,561","1,450","1,500","1,700"
DA8,Room,0,.,.,.,.
DA8,Studio,10,659,650,675,688
DA8,One Bedroom,20,787,750,785,825
DA8,Two Bedrooms,50,"1,032",950,"1,000","1,110"
DA8,Three Bedrooms,20,"1,186","1,100","1,250","1,250"
DA8,Four or More Bedrooms,10,"1,515","1,450","1,450","1,500"
E1,Room,20,674,592,642,750
E1,Studio,30,"1,447","1,150","1,343","1,733"
E1,One Bedroom,160,"1,677","1,350","1,517","1,885"
E1,Two Bedrooms,170,"2,155","1,699","1,863","2,383"
E1,Three Bedrooms,70,"2,396","1,950","2,250","2,578"
E1,Four or More Bedrooms,30,"2,842","2,643","2,800","2,925"
E10,Room,-,..,..,..,..
E10,Studio,20,786,685,800,900
E10,One Bedroom,70,"1,045",968,"1,000","1,100"
E10,Two Bedrooms,100,"1,330","1,250","1,350","1,400"
E10,Three Bedrooms,50,"1,653","1,500","1,635","1,750"
E10,Four or More Bedrooms,20,"2,095","1,725","2,100","2,300"
E11,Room,20,572,508,589,614
E11,Studio,20,762,696,750,850
E11,One Bedroom,110,"1,076",995,"1,075","1,150"
E11,Two Bedrooms,210,"1,328","1,250","1,300","1,400"
E11,Three Bedrooms,60,"1,686","1,450","1,700","1,850"
E11,Four or More Bedrooms,50,"2,258","1,950","2,200","2,400"
E12,Room,-,..,..,..,..
E12,Studio,-,..,..,..,..
E12,One Bedroom,30,"1,021",900,"1,025","1,125"
E12,Two Bedrooms,50,"1,262","1,200","1,250","1,330"
E12,Three Bedrooms,50,"1,535","1,425","1,550","1,650"
E12,Four or More Bedrooms,10,"2,021","1,700","1,850","2,050"
E13,Room,10,514,477,498,563
E13,Studio,-,..,..,..,..
E13,One Bedroom,70,"1,097","1,000","1,070","1,150"
E13,Two Bedrooms,80,"1,313","1,250","1,325","1,400"
E13,Three Bedrooms,50,"1,633","1,500","1,650","1,725"
E13,Four or More Bedrooms,30,"1,949","1,800","1,850","2,000"
E14,Room,20,714,592,653,859
E14,Studio,50,"1,405","1,350","1,408","1,495"
E14,One Bedroom,260,"1,519","1,343","1,456","1,690"
E14,Two Bedrooms,310,"1,911","1,600","1,777","2,100"
E14,Three Bedrooms,120,"2,386","1,996","2,167","2,449"
E14,Four or More Bedrooms,20,"2,424","2,167","2,383","2,700"
E15,Room,20,676,527,570,642
E15,Studio,10,922,900,945,"1,000"
E15,One Bedroom,150,"1,231","1,100","1,200","1,300"
E15,Two Bedrooms,210,"1,466","1,350","1,450","1,550"
E15,Three Bedrooms,90,"1,731","1,600","1,750","1,850"
E15,Four or More Bedrooms,30,"2,157","1,950","2,008","2,300"
E16,Room,10,656,621,650,708
E16,Studio,20,"1,182","1,097","1,175","1,300"
E16,One Bedroom,140,"1,278","1,170","1,255","1,365"
E16,Two Bedrooms,250,"1,544","1,387","1,550","1,650"
E16,Three Bedrooms,80,"1,843","1,695","1,894","2,000"
E16,Four or More Bedrooms,10,"2,258","2,000","2,100","2,600"
E17,Room,10,496,442,473,535
E17,Studio,40,850,790,848,950
E17,One Bedroom,210,"1,106","1,000","1,100","1,200"
E17,Two Bedrooms,290,"1,349","1,250","1,350","1,450"
E17,Three Bedrooms,120,"1,694","1,550","1,700","1,800"
