,Postcode District,Bedroom Category,Count of rents,Mean
1,BR1,0,10,706
2,BR1,1,120,"1,033"
3,BR1,2,230,"1,238"
4,BR1,3,90,"1,484"
5,BR1,4,40,"2,487"
7,BR2,0,-,..
8,BR2,1,80,982
9,BR2,2,200,"1,259"
10,BR2,3,70,"1,578"
11,BR2,4,40,"2,238"
13,BR3,0,10,719
14,BR3,1,130,970
15,BR3,2,150,"1,262"
16,BR3,3,50,"1,666"
17,BR3,4,20,"2,359"
19,BR4,0,10,671
20,BR4,1,10,946
21,BR4,2,10,"1,113"
22,BR4,3,10,"1,780"
23,BR4,4,10,"1,992"
25,BR5,0,0,.
26,BR5,1,30,899
27,BR5,2,100,"1,092"
28,BR5,3,90,"1,442"
29,BR5,4,40,"1,961"
31,BR6,0,20,665
32,BR6,1,70,947
33,BR6,2,100,"1,200"
34,BR6,3,100,"1,438"
35,BR6,4,60,"2,146"
37,BR7,0,0,.
38,BR7,1,40,941
39,BR7,2,90,"1,261"
40,BR7,3,50,"1,715"
41,BR7,4,30,"2,611"
43,BR8,0,0,.
44,BR8,1,0,.
45,BR8,2,-,..
46,BR8,3,0,.
47,BR8,4,0,.
49,CM13,0,0,.
50,CM13,1,0,.
51,CM13,2,0,.
52,CM13,3,0,.
53,CM13,4,0,.
55,CM14,0,0,.
56,CM14,1,0,.
57,CM14,2,0,.
58,CM14,3,0,.
59,CM14,4,0,.
61,CM23,0,0,.
62,CM23,1,0,.
63,CM23,2,0,.
64,CM23,3,0,.
65,CM23,4,0,.
67,CR0,0,50,745
68,CR0,1,350,944
69,CR0,2,370,"1,188"
70,CR0,3,90,"1,397"
71,CR0,4,30,"2,074"
73,CR2,0,10,683
74,CR2,1,50,894
75,CR2,2,100,"1,150"
76,CR2,3,30,"1,452"
77,CR2,4,10,"1,783"
79,CR3,0,0,.
80,CR3,1,0,.
81,CR3,2,0,.
82,CR3,3,-,..
83,CR3,4,-,..
85,CR4,0,10,771
86,CR4,1,30,984
87,CR4,2,60,"1,199"
88,CR4,3,30,"1,524"
89,CR4,4,20,"1,932"
91,CR44,0,0,.
92,CR44,1,0,.
93,CR44,2,0,.
94,CR44,3,0,.
95,CR44,4,0,.
97,CR5,0,-,..
98,CR5,1,-,..
99,CR5,2,10,"1,185"
100,CR5,3,20,"1,386"
101,CR5,4,10,"2,057"
103,CR6,0,0,.
104,CR6,1,0,.
105,CR6,2,-,..
106,CR6,3,0,.
107,CR6,4,0,.
109,CR7,0,40,670
110,CR7,1,60,895
111,CR7,2,40,"1,151"
112,CR7,3,40,"1,439"
113,CR7,4,10,"1,721"
115,CR8,0,30,728
116,CR8,1,30,836
117,CR8,2,70,"1,155"
118,CR8,3,30,"1,385"
119,CR8,4,30,"2,038"
121,CR9,0,0,.
122,CR9,1,0,.
123,CR9,2,0,.
124,CR9,3,0,.
125,CR9,4,0,.
127,CR90,0,0,.
128,CR90,1,0,.
129,CR90,2,0,.
130,CR90,3,0,.
131,CR90,4,0,.
133,DA1,0,10,596
134,DA1,1,30,676
135,DA1,2,20,"1,047"
136,DA1,3,20,"1,220"
137,DA1,4,10,"1,540"
139,DA14,0,0,.
140,DA14,1,10,886
141,DA14,2,50,"1,097"
142,DA14,3,10,"1,278"
143,DA14,4,10,"1,640"
145,DA15,0,0,.
146,DA15,1,10,845
147,DA15,2,10,"1,181"
148,DA15,3,10,"1,310"
149,DA15,4,10,"1,725"
151,DA16,0,-,..
152,DA16,1,10,913
153,DA16,2,30,"1,139"
154,DA16,3,30,"1,338"
155,DA16,4,10,"1,554"
157,DA17,0,0,.
158,DA17,1,10,818
159,DA17,2,30,"1,066"
160,DA17,3,20,"1,262"
161,DA17,4,-,..
163,DA18,0,0,.
164,DA18,1,-,..
165,DA18,2,-,..
166,DA18,3,10,"1,139"
167,DA18,4,10,"1,331"
169,DA5,0,0,.
170,DA5,1,10,"1,063"
171,DA5,2,20,"1,161"
172,DA5,3,10,"1,412"
173,DA5,4,10,"1,983"
175,DA6,0,10,733
176,DA6,1,20,847
177,DA6,2,20,"1,161"
178,DA6,3,10,"1,309"
179,DA6,4,0,.
181,DA7,0,-,..
182,DA7,1,-,..
183,DA7,2,50,"1,033"
184,DA7,3,30,"1,380"
185,DA7,4,10,"1,561"
187,DA8,0,10,659
